Session,SubjectID,Gender,Age,Field,RiskAttitude
1,1,M,23,Other,8
1,2,M,20,Business,8
1,3,M,21,Other,8
1,4,F,20,STEM,9
1,5,M,29,Other,8
1,6,M,21,Other,5
1,7,F,22,STEM,5
1,8,M,31,Other,2
1,9,M,22,Other,6
1,10,F,20,STEM,5
1,11,M,28,Business,5
1,12,M,24,Business,10
2,1,F,22,Other,2
2,2,M,22,STEM,6
2,3,M,23,Econ,2
2,4,M,24,Business,6
2,5,M,19,Other,8
2,6,F,25,Business,7
2,7,F,22,Other,9
2,8,M,26,Econ,7
2,9,M,23,Econ,5
2,10,F,18,Other,3
2,11,M,22,STEM,3
2,12,M,26,Econ,1
3,1,F,28,STEM,9
3,2,M,23,Econ,5
3,3,F,20,Business,2
3,4,M,18,Other,10
3,5,F,20,Econ,9
3,6,M,25,Business,4
3,7,F,20,STEM,7
3,8,F,27,STEM,6
3,9,F,19,Business,8
3,10,M,22,Econ,1
3,11,M,21,Other,4
3,12,F,25,Econ,5
4,1,F,18,Econ,10
4,2,M,23,Other,1
4,3,F,21,Other,7
4,4,M,19,Business,5
4,5,M,22,STEM,8
4,6,F,28,Econ,7
4,7,F,20,Other,7
4,8,M,18,STEM,7
4,9,F,23,Other,8
4,10,F,20,Econ,9
4,11,M,20,Business,3
4,12,M,23,Econ,10
5,1,M,18,Other,9
5,2,F,24,Econ,10
5,3,F,23,Other,9
5,4,F,22,Econ,3
5,5,M,21,Econ,6
5,6,M,25,Other,8
5,7,F,22,Business,9
5,8,M,22,Business,2
5,9,F,18,STEM,4
5,10,M,18,STEM,5
5,11,M,27,Econ,10
5,12,M,24,Business,1
6,1,M,20,Other,8
6,2,M,20,STEM,9
6,3,F,25,Econ,8
6,4,F,23,Business,5
6,5,F,23,Business,7
6,6,M,26,Econ,4
6,7,M,27,Other,7
6,8,M,26,Econ,5
6,9,F,21,Business,5
6,10,M,23,Business,4
6,11,M,19,Business,7
6,12,F,25,Business,4